Supplier Code,Manufacturer,SKU,Item Name,Quantity Available,Quantity Used,Stock Sales Ratio
D1592C/D1060-1HL0B,Renapa S.A.,509-0135,PASTILLA FRENO CERAMICA NISSAN VERSA MARCH TIIDA SEDAN 11-,0.00,3.00,0
D1712C/58101 4AA00,Renapa S.A.,509-0141,PASTILLA FRENO CERAMICA HYUNDAI H100 05-07 STAREX 4X2 97-07,1.00,2.00,6.976744186046512
D1737C/D1 06 04E A0A,Renapa S.A.,509-0145,PASTILLA FRENO CERAMICA NISSAN QASHQAI J11 XTRAIL T32 DEL SUZUKI GRAN VITARA 14-,0.00,3.00,0
D242C/04465-12240,Renapa S.A.,509-0158,PASTILLA FRENO CERAMICA TOYOTA COROLLA 87 TERCEL,0.00,2.00,0
D333C/41060 2S790,Renapa S.A.,509-0161,PASTILLA FRENO CERAMICA NISSAN D21 PATHFRENO 4W FRENORONTIER 2.4,0.00,3.00,0
D815C/D1060 1KA1A,Renapa S.A.,509-0187,PASTILLA FRENO CERAMICA NISSAN MAX 89-03 SUZUKI SX4 NISSAN VERSA,0.00,3.00,0
D905C/D4 06 0JA 00A,Renapa S.A.,509-0196,PASTILLA FRENO CERAMICA NISSAN MURANO 03 XTRAIL 00- SUZUKI J3 SENTRA 12-,0.00,10.00,0
D923C/04465-02070,Renapa S.A.,509-0198,PASTILLA FRENO CERAMICA TOYOTA COROLLA MATRIX 03-08 GAS AVENISSANIS 01-,0.00,3.00,0
D924C/58101 1FE01,Renapa S.A.,509-0199,PASTILLA FRENO CERAMICA HYUNDAI TUCSON KIA SPORTAG-09 MATRIX SOUL 12-,0.00,3.00,0
D976C/04465-35290,Renapa S.A.,509-0200,PASTILLA FRENO CERAMICA TOYOTA RUNNER 03-04 FORTUNER PRADO 03- HJ 06- SR5,0.00,10.00,0
BD35061/42043-19045,Renapa S.A.,509-1515,TAMBOR FRENO TOYOTA TERCEL 91-99 PASEO C/BOC,0.00,2.00,0
BD35069/58411-29000,Renapa S.A.,509-1516,TAMBOR FRENO HYUNDAI ELANTRA TIBURON 96-02 TRAS,0.00,4.00,0
BD35094/42610-S5A-000,Renapa S.A.,509-1521,TAMBOR FRENO HONDA CIVIC 01-05 FRENOIT 10- TRAS,0.00,4.00,0
BD3569/4261-0SR-3000,Renapa S.A.,509-1526,TAMBOR FRENO HONDA CIVIC 93-04 ACCORD 88-92 ACURA 88-00,0.00,4.00,0
3000990323/30100-ED80B/30210-JX00C/30620-00Q2B,Renapa S.A.,510-047,CLUTCH KIT NISSAN TIIDA 1.6 HR16DE 13-VERS/MARCH 12- NOTE MANZ LAR(3),9.00,1.00,117.3913043478261
6203356000/41100-22715/41300-22710/41421-32000,Renapa S.A.,510-005,CLUTCH KIT HYUNDAI GRAND I10 i20 i10 1.2 DOHC 08- PICANTO RIO 11- (3),0.00,5.00,0
6223002690/31250-12391-84/31210-12210-84/31230-16061-77,Renapa S.A.,510-001,CLUTCH KIT TOYOTA COROLLA TERCEL 4AF 7AF 1ZZ 2ZZ 3E 5E YARIS (2)TODOS,0.00,15.00,0
6233735330/30100-3RC0A/30210-3RC0A/48R0020,Renapa S.A.,510-009,CLUTCH KIT NISSAN JUKE 1.6 12-14 SENTRA B17(3) QASHQAI MR20 T32 15-,0.00,2.00,0
96518606/96518606/BAF,Renapa S.A.,509-2500,BOMBA AUX FRENO CHEVROLET SPARK R/L 98-12 0.8 1.0 11/16,3.00,5.00,8.737864077669903
96574718/96574718/BAF,Renapa S.A.,509-2501,BOMBA AUX FRENO CHEVROLET SPARK 06-14 AVEO 06- DAEWOO KALOS 3/4,0.00,8.00,0
31470-32022/31470-32022/BAC,Renapa S.A.,509-3035,BOMBA AUXILIAR CLUTCH TOYOTA CORAXI COROLL DX/RAV4 97- 1C 2C 1S 2S 3S 13/16,3.00,1.00,39.130434782608695
44100-4M410/   44100-4M410/BAF,Renapa S.A.,509-2523,BOMBA AUX FRENO NISSAN SENTRA B15 ALMERA 02-06 ALTIMA  R/L 5/8,0.00,6.00,0
44100-4Z000/   44100-4Z000/BAF,Renapa S.A.,509-2524,BOMBA AUX FRENO NISSAN SENTRA B15 TIIDA 11/16,1.00,3.00,4.761904761904762
44100-60A10/   44100-60A10/BAF,Renapa S.A.,509-2526,BOMBA AUX FRENO NISSAN SENTRA B12 SUNNY STANZA-89 TRAS R/L 5/8,2.00,2.00,13.953488372093023
47550-60120/   47550-60120/BAF,Renapa S.A.,509-2547,"BOMBA AUX FRENO TOYOTA LAND C TRAS R/L 85- 04 HILUX 1""",0.00,4.00,0
53401-81A00/   53401-81A00/BAF,Renapa S.A.,509-2560,BOMBA AUX FRENO SUZUKI JIMNY RH 00- CARRY ALUM 3/4,5.00,1.00,65.21739130434783
58330-25000/   58330-25000/BAF,Renapa S.A.,509-2578,BOMBA AUX FRENO HYUNDAI ACCENT VERNA R/L 3/4 58380-25000,0.00,10.00,0
58380-25000/   58380-25000/BAF,Renapa S.A.,509-2582,BOMBA AUX FRENO HYUNDAI ACCENT VERNA R/L 3/4 58330-25000,5.00,5.00,14.563106796116505
8-94233-500-4/   8-94233-500-4/BAF,Renapa S.A.,509-2586,BOMBA AUX FRENO ISUZU TROOPER KB TRAS R/L 7/8,6.00,4.00,21.686746987951807
GJ21-26-610/   GJ21-26-610/BAF / B21H26610A,Renapa S.A.,509-2591,BOMBA AUX FRENO MAZDA 323 626 KIA SEPHIA SPECTRA 90-96 R/L 11/16,0.00,2.00,0
48047,Gonher Autopartes de Costa Rica S.A.,511-008,BATERIA GONHER G-47-600,0.00,2.00,0
240359,Capris S.A.,130-011,NGK BUJIA LFR5A-11 6376 / 4278,0.00,20.00,0
RCME59/MD 997 328,Rafael Pinto & CO S.A. (PROLUSA),130-017,NGK CABLES P/BUJIA HY/EXC/ELANT.90-93 9301,1.00,1.00,13.043478260869566
8255/43,Rafael Pinto & CO S.A. (PROLUSA),503-005,FLOSSER BOMBILLO H4 24V 70/75W P43T,7.00,3.00,33.33333333333333
13020H1,Rafael Pinto & CO S.A. (PROLUSA),503-014,FLOSSER BOMBILLO H1 12V 100W,8.00,4.00,28.91566265060241
12070,Rafael Pinto & CO S.A. (PROLUSA),503-016,FLOSSER BOMBILLO H7 12V 80W PX26D,0.00,12.00,0
1034,Rafael Pinto & CO S.A. (PROLUSA),503-032,FLOSSER BOMBILLO 12V 32/4CP 2 CONTACTOS (5230),0.00,10.00,0
MO-LA72379ST/E4303-ZJ60A,Rafael Pinto & CO S.A. (PROLUSA),502-039,MONROE AMORTIGUADOR LA-E DI NISSAN SENTRA 07-12 B16 DEL LH,4.00,6.00,9.75609756097561
MO-808234/546601W400,Rafael Pinto & CO S.A. (PROLUSA),502-058,MONROE AMORTIGUADOR HYUNDAI ACCENT PB-RB 2012-14 FR-RH,0.00,5.00,0
MO-6717/4851169165,Rafael Pinto & CO S.A. (PROLUSA),502-078,MONROE AMORTIGUADOR GM ISUZU NPR  D 86-95 VARIOS O/P DEL,3.00,2.00,20.930232558139533
MO-32273/MB633900,Rafael Pinto & CO S.A. (PROLUSA),502-002,MONROE AMORT MONT/92/00/MONSPO D 97/99 DEL,8.00,2.00,55.81395348837209
1987946084/55240004,Rafael Pinto & CO S.A. (PROLUSA),504-010,BOSCH FAJA MICRO-V 5PK1219 (48P),0.00,3.00,0
1987946090/ERR2215,Rafael Pinto & CO S.A. (PROLUSA),504-013,BOSCH FAJA MICRO-V 4PK1325 (52P),0.00,1.00,0
1987947504/17066684,Rafael Pinto & CO S.A. (PROLUSA),504-029,BOSCH FAJA TIPO V 13AVX1055 (41.1/2P) =9415,0.00,3.00,0
1987947604/32411288291,Rafael Pinto & CO S.A. (PROLUSA),504-039,BOSCH FAJA TIPO V 10AVX813 (32P) =7320,0.00,1.00,0
1987947607/55568858,Rafael Pinto & CO S.A. (PROLUSA),504-041,BOSCH FAJA TIPO V 10AVX888 (35P) =7350,0.00,1.00,0
1987947616/11721315181,Rafael Pinto & CO S.A. (PROLUSA),504-046,BOSCH FAJA TIPO V 13AVX975 (38.1/2P) =9385,0.00,1.00,0
1987947622/MB199599,Rafael Pinto & CO S.A. (PROLUSA),504-047,BOSCH FAJA TIPO V 13AVX1375 (54P) =9540,0.00,1.00,0
1987947652/oK65B-32-611,Rafael Pinto & CO S.A. (PROLUSA),504-053,BOSCH FAJA TIPO V 13AVX875 (34.1/2P) =9345,1.00,1.00,13.043478260869566
1987947812/07L903137T,Rafael Pinto & CO S.A. (PROLUSA),504-068,BOSCH FAJA MICRO-V 5PK970 (38P),0.00,1.00,0
1987947824/11288477779,Rafael Pinto & CO S.A. (PROLUSA),504-071,BOSCH FAJA MICRO-V 6PK2080 (82P),0.00,1.00,0
1987947844/6001543512,Rafael Pinto & CO S.A. (PROLUSA),504-080,BOSCH FAJA MICRO-V 3PK715 (28P),0.00,1.00,0
1987948312/0P2260849,Rafael Pinto & CO S.A. (PROLUSA),504-108,BOSCH FAJA MICRO-V 4PK1090 (43P),0.00,2.00,0
1987948320/252123A000,Rafael Pinto & CO S.A. (PROLUSA),504-111,BOSCH FAJA MICRO-V 7PK1930 (76P),0.00,2.00,0
1987948410/079903137T,Rafael Pinto & CO S.A. (PROLUSA),504-121,BOSCH FAJA MICRO-V 5PK1135 (44.5/8P),0.00,1.00,0
1987948782/24312-35000,Rafael Pinto & CO S.A. (PROLUSA),504-130,"FAJA BOSCH T139 / DIST 25mm ancho/149 dientes, Galloper 3.0/Montero 3.0",0.00,1.00,0
1987948829/1350511011,Rafael Pinto & CO S.A. (PROLUSA),504-132,"FAJA BOSCH  HON/CIV/92/00 (104C-15/16) T224 dientes: 104, 991mm 24mm",2.00,1.00,26.086956521739133
1987949615/KFI438,Rafael Pinto & CO S.A. (PROLUSA),504-149,"FAJA BOSCH T1511 dientes: 97, 924mm 25mm",0.00,1.00,0
MR398288,ARH DE ALAJUELA S.A.,3-20,FILTRO AIRE CABINA MIT L200 MONTERO SOPRT 2006-,0.00,1.00,0
3795/EM-9338,Vazlo Costa Rica Sociedad Anonima,512-009,SOPORTE MOTOR DELANTERO HYUNDAI TUCSON 2.7 2005-2009 // KIA SPORTAGE 2.7 2005-2010,2.00,3.00,9.523809523809524
4784H/EM-7104,Vazlo Costa Rica Sociedad Anonima,512-013,SOPORTE MOTOR RH HYUNDAI TUCSON 2.0/2.4 2011-2013 // SONATA 2.4 2011-2014 // KIA SPORTAGE 2.0/2.4 2011-2013,0.00,1.00,0
3665/21830-0X010,Vazlo Costa Rica Sociedad Anonima,512-016,SOPORTE TRANSMISION HYUNDAI I10 1.1 2012-2014,3.00,2.00,20.930232558139533
1645/12372-23010,Vazlo Costa Rica Sociedad Anonima,512-018,SOPORTE TRANSMISION MANUAL TOYOTA ECHO 1.5 2000-2005 // YARIS 1.3 2004-2006,0.00,5.00,0
1556H/EM-5656,Vazlo Costa Rica Sociedad Anonima,512-036,SOPORTE MOTOR RH NISSAN TIIDA 1.8 2006-2018 // NISSAN VERSA 1.8 2007-2012 // NISSAN NV200 2.0 2013-2021 // NISSAN CUBE 1.8 2009-2014,4.00,1.00,52.173913043478265
4548H/EM-5781,Vazlo Costa Rica Sociedad Anonima,512-038,SOPORTE MOTOR RH NISSAN TIIDA 1.6 2013-2018 // NISSAN VERSA 1.6 2009-2011,0.00,5.00,0
6576/EM-8893,Vazlo Costa Rica Sociedad Anonima,512-050,SOPORTE MOTOR LH HONDA CIVIC 1.6 1999-2000 // HONDA CR-V 2.0 1997-2000 // ACURA INTEGRA 1.8 1994-2001,3.00,2.00,20.930232558139533
3472/EM-9513,Vazlo Costa Rica Sociedad Anonima,512-070,SOPORTE MOTOR TRASERO TOYOTA RAV4 2.4/2.5 2006-2012 2WD,4.00,1.00,52.173913043478265
7793H/BFD1-39-060B,Vazlo Costa Rica Sociedad Anonima,512-087,SOPORTE MOTOR RH MAZDA 3 2.0/2.3 2012-2013,0.00,5.00,0
3837H/EM-5375,Vazlo Costa Rica Sociedad Anonima,512-090,SOPORTE MOTOR RH MAZDA 3 2.0 2004-2010,0.00,5.00,0
3423H/EM-9182,Vazlo Costa Rica Sociedad Anonima,512-091,SOPORTE MOTOR RH MAZDA 6 2.3/3.0 2003-2008,4.00,1.00,52.173913043478265
4730/EM-5798,Vazlo Costa Rica Sociedad Anonima,512-129,SOPORTE MOTOR RH MITSUBISHI LANCER 2.4 2004-2006,4.00,1.00,52.173913043478265
1225/EM-8974G,Vazlo Costa Rica Sociedad Anonima,512-143,SOPORTE MOTOR RH HONDA ACCORD 3.0 1998-2002 // HONDA ODYSSEY 3.5 1999-2004 // ACURA TL 3.2 1999-2003,0.00,5.00,0
48830-42010,Ningbo Sunshine Auto Parts Co,9-514,TORRE DE ESTABILIZADORA TRASERA RH TOYOTA RAV4 2003-2005,75.00,5.00,218.4466019417476
107/3 IG5 YW1118 25150H2500 IG5 K10607,Ningbo Sunshine Auto Parts Co,107-3,PASTILLA DE IGNICION UNIVERSAL 5 PINES,99.00,1.00,1291.304347826087
107/9 IG3 ISC5,Ningbo Sunshine Auto Parts Co,107-9,PASTILLA DE IGNICION UNIVERSAL 3 PINES,97.00,3.00,461.90476190476187
273/11 85/189 TS6063 TS23,Ningbo Sunshine Auto Parts Co,273-11,SWITCH DE TEMPERATURA FORD KIA MAZDA 3/8 GASOLINA,19.00,1.00,247.82608695652175
54501-2E000 54501-1F000 54501-1F100 54501-2E001 54501-2E031 54501-2E100 54501-0Z500,Ningbo Sunshine Auto Parts Co,11-310,Tijereta Inferior RH Hyundai Tucson 2.0 2.7 AWD 2004-2010 Kia Sportage II 2.0 2.7 4WD 2004-2010,5.00,1.00,65.21739130434783
23300-74310 23300-16330 23300-19535 23300-74310 23300-75100,Ningbo Sunshine Auto Parts Co,118-71,Filtro de Combustile Toyota Hilux VI 2.4 4WD 1997-2005 Avensis 1.6 2.0 1997-2000 Picnic 2.0 1996-2001,39.00,1.00,508.69565217391306
AF4818 CA3288SY 16546-C4767 17801-05551 17801-05557 AF4818 3125931-M1 3561805-M1 16546-C4767 17801-05551 17801-05557,Ningbo Sunshine Auto Parts Co,118-84,Filtro de Aire Ford Triton 0608 1986-1996 Isuzu N Series 2.6 1993-1998 TLD Series 1977-1989 Mitsubishi Canter 1985-1987 Toyota Dyna 1994-2004 Nissan F100 F250 F350 4.0 5.0 1977-1981,35.00,1.00,456.5217391304348
20TON,Ningbo Sunshine Auto Parts Co,173-37,GATA HIDRAULICA DE BOTELLA 20 TON,1.00,1.00,13.043478260869566
WBF-E51 40210-VW000 40210-VW610,Ningbo Sunshine Auto Parts Co,15-398,KIT ROL DE BOCINA DELANTERO NISSAN EL GRAND E51 2001-2010 IMPORTADO,49.00,1.00,639.1304347826087
88/145 W17386 QCP4047 WP105,Ningbo Sunshine Auto Parts Co,88-145,"BOMBA DE AGUA TOYOTA 2,8 HILUX 3L 5L/ VIGO 3L",19.00,1.00,247.82608695652175
88/16 W17380 QCP2978 WP103,Ningbo Sunshine Auto Parts Co,88-16,BOMBA DE AGUA TOYOTA CAMRY/ RAV4 3SFE/ 5SFE 23 DIENTES,18.00,2.00,125.5813953488372
SP0457,Ningbo Sunshine Auto Parts Co,339-2,"RESORTE DE COMPENSADOR TRASERO LH/RH 1,6/1,3 COROLLA AE110/ AE110/AE111",16.00,8.00,29.447852760736197
351/218 NSA6705,Ningbo Sunshine Auto Parts Co,351-218,RADIADOR NISSAN ALMERA/ SUNNY 1.6 1.8 AUTOMATIC 2000-2005,0.00,1.00,0
G7272 333332 SH211656 SH219 HDG1330 SHHN257 SA-FIT-FL,Ningbo Sunshine Auto Parts Co,393-114,COMPENSADOR DELANTERO LH HONDA JAZZ/ FIT IMPORTS 2002-2005 (PLATINA STR),0.00,3.00,0
93/10 4003S SSB4003S SS1,Ningbo Sunshine Auto Parts Co,93-10,FOCO SEMI SELLADO REDONDO 5 PULGADAS,20.00,4.00,72.28915662650603
N/A,Ningbo Sunshine Auto Parts Co,1000-0006,LARGE METAL CART (60IN X 30IN),9.00,1.00,117.3913043478261
19248-04,ARH DE ALAJUELA S.A.,127-1009,TUERCA RANA LUJO CORTA 1.25  19MM .(=09159-12024),0.00,48.00,0
50066,ARH DE ALAJUELA S.A.,21-2005,MANGUERA COMBUSTIBLE 7/16 10 MTS,0.00,1.00,0
61018,JSM Unity Costa Rica Sociedad Anonima,515-003,ADITIVO COMBUSTIBLE LIMPIADOR DE INYECTORES,2.00,4.00,7.228915662650603
62213,JSM Unity Costa Rica Sociedad Anonima,515-006,ADITIVO ENFRIAMIENTO TAPA  FUGAS RADIADOR,4.00,2.00,27.906976744186046
51124,JSM Unity Costa Rica Sociedad Anonima,515-010,ADITIVO ACEITE LEVANTA VALVULAS,3.00,9.00,4.918032786885246
58737-2H500,REMUSA,523-0002,MANGUERA  FRENO  TRASERA  RH HYUNDAI ELANTRA 07-10 DISCO HO 36.5 58737-2H500 ELANTRA 07-10 DISCO HO 36.5 58737-2H500 58737-2H500,2.00,1.00,26.086956521739133
46210-50Y12,REMUSA,523-0013,MANGUERA  FRENO  DELANTERA LH NISSAN SENTRA B13 HO 51.4 SH52707 SH52707,2.00,1.00,26.086956521739133
46214-0M614,REMUSA,523-0017,MANGUERA  FRENO  TRASERA  NISSAN TIDA-VERSA 07-09 HH 29.2 NF46219,2.00,1.00,26.086956521739133
01465-SR3-02,REMUSA,523-0018,MANGUERA  FRENO DEL LH HONDA CIVIC 88-95 HO 65.4 SH62407 NF380058,2.00,1.00,26.086956521739133
51550-60A31,REMUSA,523-0024,MANGUERA  FRENO  DELANTERA LH SUZUKI VITARA HO 77.2 SH61647 NF38617,1.00,2.00,6.976744186046512
51540-60A31,REMUSA,523-0025,MANGUERA  FRENO  DELANTERA RH SUZUKI VITARA HO 52 SH61637 NF38616,2.00,1.00,26.086956521739133
MB857556,REMUSA,523-0027,MANGUERA  FRENO  TRASERA  MITSUBISHI MONTERO HH 26.7 SH30427 SH30427,2.00,1.00,26.086956521739133
MR407225,REMUSA,523-0030,MANGUERA  FRENO  DELANTERA MITSUB. MONTERO 01-06 HO 67.6 NF383241,1.00,2.00,6.976744186046512
MB857567,REMUSA,523-0031,MANGUERA  FRENO  TRASERA  MITSUB. MIRAGE 93-02 HH 23.8 NF380162,0.00,3.00,0
17400-60810,REMUSA,521-1000,BOMBA AGUA SUZUKI SIDEKICK 1.6 89-98,0.00,1.00,0
04111-16230N-PO S,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0512,JGO. EMP. MOTOR TY. COROLLA 1.6 DOHC 92-97 4AFE (grafito),0.00,1.00,0
51712-0X700,RENAPA,509-1050,DISCO FRENO HY DELANTERO GRAND i10 08- KIA PICANTO 04-,0.00,2.00,0
45503-60040,REMUSA,72-3070,ROTULA DIRECCION CREMALLERA TOYOTA PRADO 09- 24X16X278 SRT400,0.00,2.00,0
S-568,BRIGO,800-017,CONECTOR DE BOBINA EXCEL INY./ABANICO HYUNDAI/ALT.GALLO-GRACE(2L-16),0.00,1.00,0
94580136,BRIGO,800-018,ROL PILOTO SPARK/MATIZ 0.8/1.0,0.00,1.00,0
09283-60003N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0145,RETENEDOR CIGÜEÑAL TRASERO ALTO 0.8 F8D/SAMU/JIMNY/N300 (NJ337) (60X80X8) (96416398),0.00,1.00,0
Y01-031,SOL DE KOBE,800-021,BOMBA DE ACEITE NISSAN QR25DE 13500-ET 80B 07-,0.00,1.00,0
54501-25000,REMUSA,800-022,TIJERETA RH HYUNDAI ACCENT 00- (MISMO QUE 517-002),0.00,1.00,0
N03992,KINSEI,800-026,TAPON RADIADOR RC10 0.9K7CM2 - KHC-19 RZQ11,0.00,1.00,0
L22093,KINSEI,800-028,TENSOR P/FAJA 13505-15050 4AF 7AF 57TB0505B01,0.00,1.00,0
5987896,G P FONTI,800-036,BOMBA AUXILIAR DE FRENO FIAT UNO/PREMIO,0.00,2.00,0
96815894,REMUSA,800-047,TIJERETA INFERIOR RH CHEVROLET AVEO 05--,0.00,1.00,0
12341-PR4-A00NNGC,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0588,EMP. TAPA VALV. HD. CRV 2.0 DOHC 16vB20B/B20Z (97-01),0.00,2.00,0
11213-28021N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0576,EMP. TAPA VALV. TOYOTA RAV4 2.0 00- 1AZ-FE,0.00,2.00,0
11213-11055N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0579,EMP. TAPA VALV. TOYOTA TERCEL 1.5 DOHC5E-FE,1.00,1.00,13.043478260869566
11213-22030N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0574,EMP. TAPA VALV. TOYOTA COROLLA 1.81ZZ-FE/3ZZ 98-13 (Nbr),0.00,2.00,0
ME200403N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0595,EMP. TAPA VALV. MIT. MONTERO 2.8DIESEL (4M40),0.00,1.00,0
11400-69G01-NGC,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0523,SET EMPAQUES MOTOR SZ. AERIO 02-07/SX408-15/IGNIS 1.3/SWIFT 1.3 M13/M16(GRAFITO),0.00,1.00,0
ME993320N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0525,SET EMPAQUES MOTOR MIT. MONTERO 2.8DIESEL (4M40)(ME-996729) GRAFITO,0.00,1.00,0
90311-52006N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0108,RETENEDOR RUEDA DELANTERO EXTERNO TOYOTA COROLLAEE90/10088-92(52x66x5/12)NJ867,1.00,1.00,13.043478260869566
89422-06010N-MTE,IMPORTADORA BRIGO INTERNACIONAL S.A.,525-0012,SENSOR COOLANT TY. 4RUNN/CAMRY2.4/COR 1ZZ/FJ 4.0/RAV 2.0/2.4/LEXUS/,0.00,2.00,0
40232-21B00N-NGC,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0113,RETENEDOR RUEDA DELANTERO TOYOTA EE80/NISSAN(52x68x7.5/12)NK09804422-2010,1.00,1.00,13.043478260869566
90311-85006N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0068,RETENEDOR  CIGUEÑAL TRASERO CELICA/HIACE/RAV/HILUX2L/3L2.4/2.888-05(85x105x10)(NJ215METAL,0.00,2.00,0
38342-03E00N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0016,RETENEDOR  CAJA /TRANSMISION NISSAN U1183-88(39x59x11/17)NJ213,1.00,1.00,13.043478260869566
90311-54003N-GOS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0114,RETENEDOR RUEDA DELANTERO TOYOTA EL40/42/50/53/TERCEL/PASEO(54x66x7.5/10)(NJ996),0.00,2.00,0
F003-27-238N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0130,RETENEDOR SALIDA  CAJA MZ.626/323/HYUNDAI ACCENT/ATOS(35x56x9/15)NJ452,0.00,2.00,0
09283-32026N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0088,RETENEDOR CIG/ ARBOL. DELANTERO SUZUKI APV/CARRY/BALE/SAMU/VITAG16ASPA/MAT/DAM(32x47x6)NJ377,0.00,2.00,0
90311-75016N-GOS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0087,RETENEDOR  CIGUEÑAL TRASERO TOYOTA YARIS1.51NZ/2NZ(75x107x8),0.00,2.00,0
52820-4B100N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0097,RET. EJE DIFERENCIAL  TRAS. HY. H100(39x76.5x10.5/14),1.00,1.00,13.043478260869566
22144-3B000N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0004,RETENEDOR  ARBOL LEVAS TUC/ELA/EXC/VER/SAN2.4/ACC/PIC1.1/MIT6G72-6G74/4G18/4G13(35x50x8)NJ242,0.00,2.00,0
G332056,Renapa S.A.,522-0117,COMPENSADOR NISSAN SENTRA B13 91-94 TRAS RH,0.00,1.00,0
G332057,Renapa S.A.,522-0116,COMPENSADOR NISSAN SENTRA B13 91-94 TRAS LH,0.00,1.00,0
G332080,Renapa S.A.,522-0051,COMPENSADOR HYUNDAI ACCENT 94-96 RH TRAS,0.00,1.00,0
G332152,Renapa S.A.,522-0128,COMPENSADOR DEL RH NISSAN VERSA ALMERA NOTE TIIDA 12-15,0.00,1.00,0
G332153,Renapa S.A.,522-0129,COMPENSADOR DEL LH NISSAN VERSA ALMERA NOTE TIIDA 12-15,0.00,1.00,0
G333089,Renapa S.A.,522-0121,COMPENSADOR NISSAN SENTRA B13/B14 91-98 RH,0.00,1.00,0
G333208,Renapa S.A.,522-0063,COMPENSADOR HYUNDAI ELANTRA 95-00 AVANTE LH TRAS 00-06-PLATO PEQ,0.00,1.00,0
G333390,Renapa S.A.,522-0124,COMPENSADOR NISSAN TIIDA 05-17 VERSA DEL RH,0.00,1.00,0
G3340041,Renapa S.A.,522-0149,COMPENSADOR TOYOTA COROLLA 14- DEL RH,0.00,1.00,0
G3340042,Renapa S.A.,522-0148,COMPENSADOR TOYOTA COROLLA 14- DEL LH,0.00,1.00,0
G334464,Renapa S.A.,522-0132,COMPENSADOR SUZUKI GRAND VITARA 06-19 RH DEL XL7,0.00,1.00,0
G334500,Renapa S.A.,522-0072,COMPENSADOR HYUNDAI SANTA FE 00-05 DEL RH,0.00,1.00,0
G334504,Renapa S.A.,522-0088,COMPENSADOR HYUNDAI TUCSON KIA SPORTAGE TRAS 04- RH,0.00,1.00,0
G338003,Renapa S.A.,522-0059,COMPENSADOR HYUNDAI ELANTRA 07-10 i30 DEL RH,0.00,1.00,0
G339255,Renapa S.A.,522-0028,COMPENSADOR HONDA CIVIC SI SEDAN COUPE 06- DEL RH,0.00,1.00,0
G341093,Renapa S.A.,522-0014,COMPENSADOR HONDA CIVIC 88-95 TRAS V/J PIN/OJO,0.00,2.00,0
G341198,Renapa S.A.,522-0018,COMPENSADOR HONDA CIVIC 96-00 ACURA 96-00 L/R TRAS P/ORQ 41mm,0.00,2.00,0
G341203,Renapa S.A.,522-0019,COMPENSADOR HONDA CIVIC 96-01 EJ EK VTEC 1.5 1.6 DEL R/L,1.00,1.00,13.043478260869566
G341260,Renapa S.A.,522-0040,COMPENSADOR HONDA CRV 95-01 DEL R/L,0.00,2.00,0
G341311,Renapa S.A.,522-0010,COMPENSADOR HONDA CIVIC 01-02 R/L TRAS,0.00,1.00,0
G341318,Renapa S.A.,522-0100,COMPENSADOR MITSUBISHI LANCER 1.6 00-06 EVOLUTION 01- COLT 95-00 TRAS,0.00,2.00,0
G341398,Renapa S.A.,522-0159,"COMPENSADOR TOYOTA HILUX VIGO 04-15 PICK UP 97-06 DEL LH 5"" 4X2",1.00,1.00,13.043478260869566
G343435,Renapa S.A.,522-0130,COMPENSADOR SUZUKI GRAND VITARA 06- TRAS b/b 12 mm,0.00,2.00,0
G343442,Renapa S.A.,522-0187,COMPENSADOR TOYOTA YARIS TRAS P/B 05-12 R/L,0.00,2.00,0
G343458,Renapa S.A.,522-0125,COMPENSADOR NISSAN TIIDA VERSA 05- P/B TRAS R/L,0.00,2.00,0
G343478,Renapa S.A.,522-0004,COMPENSADOR CHEVROLET SPARK 06- TRAS b/b,1.00,1.00,13.043478260869566
G344295,Renapa S.A.,522-0113,COMPENSADOR MITSUBISHI MONTERO SPORT TRAS 97- O/B ESPIR,0.00,2.00,0
G348090,Renapa S.A.,522-0185,COMPENSADOR TOYOTA YARIS TRAS 13- R/L,0.00,2.00,0
G349090,Renapa S.A.,522-0111,COMPENSADOR MITSUBISHI MONTERO SPORT 09- TRAS,0.00,2.00,0
