Item Name,Manufacturer,Total Opening Stock,Total Reorder Level,Total Quantity Out
EMP CABEZOTE CH SPARK GO 1.0,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP CABEZOTE CH SPARK GO 1.0,,0.00,,2.00
EMP CABEZOTE CH SPARK/MATIZ 0.8/DAM/CMV,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP CABEZOTE CH SPARK/MATIZ 0.8/DAM/CMV,,0.00,,1.00
EMP CABEZOTE DER NI PATH,-No Value-,0.00,,1.00
EMP CABEZOTE DER NI PATH,,0.00,,1.00
EMP CABEZOTE DER NI PATH GRAFITO,-No Value-,0.00,,1.00
EMP CABEZOTE DER NI PATH GRAFITO,,0.00,,1.00
EMP CABEZOTE HY ACC BLUE/SOUL/RIO1.4,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP CABEZOTE HY ACC BLUE/SOUL/RIO1.4,,0.00,,2.00
EMP CABEZOTE IZQ NI PATH,-No Value-,0.00,,1.00
EMP CABEZOTE IZQ NI PATH,,0.00,,1.00
EMP CABEZOTE IZQ NI PATH GRAFITO,-No Value-,0.00,,1.00
EMP CABEZOTE IZQ NI PATH GRAFITO,,0.00,,1.00
EMP CABEZOTE IZQ TY 4RUNNER 3.4,-No Value-,0.00,,1.00
EMP CABEZOTE IZQ TY 4RUNNER 3.4,,0.00,,1.00
EMP CABEZOTE MIT L200 2.5 16V 4D56T,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP CABEZOTE MIT L200 2.5 16V 4D56T,,0.00,,1.00
EMP CABEZOTE MIT MONTERO 3.5,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP CABEZOTE MIT MONTERO 3.5,,0.00,,
EMP CABEZOTE NEW PICANTO 1.2 11-15,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,5.00
EMP CABEZOTE NEW PICANTO 1.2 11-15,,0.00,,5.00
EMP CABEZOTE NI SENTRA B15 1.8 98-QG18DE,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP CABEZOTE NI SENTRA B15 1.8 98-QG18DE,,0.00,,
EMP CABEZOTE SZ APV 1.6 G16A/BALENO,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP CABEZOTE SZ APV 1.6 G16A/BALENO,,0.00,,1.00
EMP CABEZOTE TY CELICA 2.0,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP CABEZOTE TY CELICA 2.0,,0.00,,1.00
EMP CBZTE 11115-64100 2cc,-No Value-,0.00,,1.00
EMP CBZTE 11115-64100 2cc,,0.00,,1.00
EMP CBZTE 22311-38C00 SANTAFE G4JS 2.4,-No Value-,0.00,,1.00
EMP CBZTE 22311-38C00 SANTAFE G4JS 2.4,,0.00,,1.00
EMP CBZTE MD145826 6G72 97-00 SOCH 24VAL AS,-No Value-,0.00,,2.00
EMP CBZTE MD145826 6G72 97-00 SOCH 24VAL AS,,0.00,,2.00
EMP MULTPL ESC 181115,-No Value-,0.00,,1.00
EMP MULTPL ESC 181115,,0.00,,1.00
EMP TAPA VAL NI 2.4 16V 98,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP TAPA VAL NI 2.4 16V 98,,0.00,,
EMP TAPA VALV IZQ/DER NI PATH/MURA/MAXI/Z350,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP TAPA VALV IZQ/DER NI PATH/MURA/MAXI/Z350,,0.00,,
EMP TAPA VALV K2700-K3000-PREGIO2.7,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP TAPA VALV K2700-K3000-PREGIO2.7,,0.00,,1.00
EMP TAPA VALV NI QASUQAI/SENTRA/X-TRAIL/JOKE/RENAUL,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,5.00
EMP TAPA VALV NI QASUQAI/SENTRA/X-TRAIL/JOKE/RENAUL,,0.00,,5.00
EMP TAPA VALV NI TIDA 1.6 HR169DE,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP TAPA VALV NI TIDA 1.6 HR169DE,,0.00,,1.00
EMP TAPA VALV PEQUEÑO HY ELANTRA GDI16-/VELOSTER GDI,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP TAPA VALV PEQUEÑO HY ELANTRA GDI16-/VELOSTER GDI,,0.00,,
EMP TAPA VALV RIO 1.5 01-03,-No Value-,0.00,,1.00
EMP TAPA VALV RIO 1.5 01-03,,0.00,,1.00
EMP TAPA VALVULAS MIT 3A92 MIRAGE 10 1.2CC,-No Value-,0.00,,1.00
EMP TAPA VALVULAS MIT 3A92 MIRAGE 10 1.2CC,,0.00,,1.00
EMP TP VLAV RH 13270-8J102,-No Value-,0.00,,1.00
EMP TP VLAV RH 13270-8J102,,0.00,,1.00
EMP TP VLV 11189-54GE0 M13A M16A,-No Value-,0.00,,1.00
EMP TP VLV 11189-54GE0 M13A M16A,,0.00,,1.00
EMP TP VLV 11189-65J00 J18 06-,KINSEI,0.00,,
EMP TP VLV 11189-65J00 J18 06-,,0.00,,
EMP TP VLV LH 13270-8J112,-No Value-,0.00,,1.00
EMP TP VLV LH 13270-8J112,,0.00,,1.00
EMP TP VLV MD 307705 4G93 MIRAGE,-No Value-,0.00,,1.00
EMP TP VLV MD 307705 4G93 MIRAGE,,0.00,,1.00
EMP. CABEZOTE 4G69,IMPORTACIONES SOL DE KOBE S.A,0.00,,1.00
EMP. CABEZOTE 4G69,,0.00,,1.00
EMP. CABEZOTE ACCENT BLUE 1.4/RIO1.4 KAPPA16- (G4LC) (metal) (22311-03550),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. CABEZOTE ACCENT BLUE 1.4/RIO1.4 KAPPA16- (G4LC) (metal) (22311-03550),,0.00,,1.00
EMP. CABEZOTE CH. N300 (metal),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE CH. N300 (metal),,0.00,,
EMP. CABEZOTE ELA 1.8 12-/iX35 2.013-15/CARENS 2.0 13-16 G4NA/G4NC(grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. CABEZOTE ELA 1.8 12-/iX35 2.013-15/CARENS 2.0 13-16 G4NA/G4NC(grafito),,0.00,,1.00
EMP. CABEZOTE HD. CIVIC D17A/D1601-05 (metal),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. CABEZOTE HD. CIVIC D17A/D1601-05 (metal),,0.00,,2.00
EMP. CABEZOTE HD. CIVICD16Y5/D16Y7/D15Z4 92-00 (grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. CABEZOTE HD. CIVICD16Y5/D16Y7/D15Z4 92-00 (grafito),,0.00,,2.00
EMP. CABEZOTE HD. CR-V 2.0 B20B 96-(METAL),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. CABEZOTE HD. CR-V 2.0 B20B 96-(METAL),,0.00,,1.00
EMP. CABEZOTE HD. CR-V 2.4LK20A/K24A1 07- (grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. CABEZOTE HD. CR-V 2.4LK20A/K24A1 07- (grafito),,0.00,,2.00
EMP. CABEZOTE HY. ACCENT BLUE 1.4 KAPPA/i20/RIO 1.4 G4LC 16- (graphite),BRIGO,0.00,,3.00
EMP. CABEZOTE HY. ACCENT BLUE 1.4 KAPPA/i20/RIO 1.4 G4LC 16- (graphite),,0.00,,3.00
EMP. CABEZOTE HY. GRAN i10 1.0 12valvulas 18- G3LA/B3LA (grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,4.00
EMP. CABEZOTE HY. GRAN i10 1.0 12valvulas 18- G3LA/B3LA (grafito),,0.00,,4.00
EMP. CABEZOTE HY. TUC/ELANTRA 2.0 (Grafito) G4GB/G4GF/G4GC,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE HY. TUC/ELANTRA 2.0 (Grafito) G4GB/G4GF/G4GC,,0.00,,
EMP. CABEZOTE MIT. MONTERO 2.4 97-/GALA/SPACE WA/ECLIP 2.4 99 4G64 (grafito),-No Value-,0.00,,3.00
EMP. CABEZOTE MIT. MONTERO 2.4 97-/GALA/SPACE WA/ECLIP 2.4 99 4G64 (grafito),,0.00,,3.00
EMP. CABEZOTE MIT. MONTERO 2.8DIESEL (4M40/4M40T) (graphite),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. CABEZOTE MIT. MONTERO 2.8DIESEL (4M40/4M40T) (graphite),,0.00,,1.00
EMP. CABEZOTE MIT. MONTERO SPORT3.0 95- 6G72/V43 (E=2mm) (GRAFITO),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE MIT. MONTERO SPORT3.0 95- 6G72/V43 (E=2mm) (GRAFITO),,0.00,,
EMP. CABEZOTE NI SENTRA B13 1.6GA16DE 91-07 (inyectado) (grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,3.00
EMP. CABEZOTE NI SENTRA B13 1.6GA16DE 91-07 (inyectado) (grafito),,0.00,,3.00
EMP. CABEZOTE NI. TIIDA/VERSA 11- 1.6 HR16DE,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,5.00
EMP. CABEZOTE NI. TIIDA/VERSA 11- 1.6 HR16DE,,0.00,,5.00
EMP. CABEZOTE SANTA FE 2.2 06-10DIESEL (Graphite) E=1.50,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. CABEZOTE SANTA FE 2.2 06-10DIESEL (Graphite) E=1.50,,0.00,,1.00
EMP. CABEZOTE SANTA FE 2.4 10-15/TUCix35 2.4/SOR G4KE (grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE SANTA FE 2.4 10-15/TUCix35 2.4/SOR G4KE (grafito),,0.00,,
EMP. CABEZOTE SANTA FE 2.400-05/SONATA 99-02 (Grafito) G4JS (88mm),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE SANTA FE 2.400-05/SONATA 99-02 (Grafito) G4JS (88mm),,0.00,,
EMP. CABEZOTE SOR 2.5 D4CB 03-05/H-12.5A 07- (riel comun),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. CABEZOTE SOR 2.5 D4CB 03-05/H-12.5A 07- (riel comun),,0.00,,1.00
EMP. CABEZOTE SPARK GO 1.2 13-METAL (version americana),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE SPARK GO 1.2 13-METAL (version americana),,0.00,,
EMP. CABEZOTE SZ. CARRY/SWIFT 1.3G13BB/G13A 98- (GRAFITO),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE SZ. CARRY/SWIFT 1.3G13BB/G13A 98- (GRAFITO),,0.00,,
EMP. CABEZOTE SZ. IGNIS 1.3 03-06/SWIFT 1.3 06-09/SX4/AERIO M13A/M16 (grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,3.00
EMP. CABEZOTE SZ. IGNIS 1.3 03-06/SWIFT 1.3 06-09/SX4/AERIO M13A/M16 (grafito),,0.00,,3.00
EMP. CABEZOTE SZ. VITARA J20A/J18(grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE SZ. VITARA J20A/J18(grafito),,0.00,,
EMP. CABEZOTE SZ.ERTIGA/SWIFT/BALENO 1.4 K14B14-/CIAZ 1.4 (Grafito),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,7.00
EMP. CABEZOTE SZ.ERTIGA/SWIFT/BALENO 1.4 K14B14-/CIAZ 1.4 (Grafito),,0.00,,7.00
EMP. CABEZOTE TOYOTA COR 1.6 4AF/5AFAE92/95 88-92 (grafito)(11115-16081),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. CABEZOTE TOYOTA COR 1.6 4AF/5AFAE92/95 88-92 (grafito)(11115-16081),,0.00,,2.00
EMP. CABEZOTE TOYOTA COROLLA 1.6 4A-FE93-97 (grafito)(11115-16130),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TOYOTA COROLLA 1.6 4A-FE93-97 (grafito)(11115-16130),,0.00,,
EMP. CABEZOTE TOYOTA COROLLA 1.8 7A-FE92-97 AE102 (Graphite),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TOYOTA COROLLA 1.8 7A-FE92-97 AE102 (Graphite),,0.00,,
EMP. CABEZOTE TOYOTA HILUX 2.4 2L-T89-97 (Graphite) 1.6mm (11115-54084),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TOYOTA HILUX 2.4 2L-T89-97 (Graphite) 1.6mm (11115-54084),,0.00,,
EMP. CABEZOTE TOYOTA HILUX/4RUNNER2.8 3L 97-05 (Graphite) 1.6mm,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TOYOTA HILUX/4RUNNER2.8 3L 97-05 (Graphite) 1.6mm,,0.00,,
EMP. CABEZOTE TOYOTA HILUX/HIACE 3.0 5L95-05 (Graphite),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TOYOTA HILUX/HIACE 3.0 5L95-05 (Graphite),,0.00,,
EMP. CABEZOTE TOYOTA HILUX/L-CRUISERPRADO 3.0 1KZ-TE DIESEL (metal),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TOYOTA HILUX/L-CRUISERPRADO 3.0 1KZ-TE DIESEL (metal),,0.00,,
EMP. CABEZOTE TOYOTA RAV4 2.0 00- 1AZ(Graphite)(11115-28022),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TOYOTA RAV4 2.0 00- 1AZ(Graphite)(11115-28022),,0.00,,
EMP. CABEZOTE TOYOTA RAV4 2.4 04- 2AZ-FE(Graphite),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TOYOTA RAV4 2.4 04- 2AZ-FE(Graphite),,0.00,,
EMP. CABEZOTE TUC/ELANTRA 2.0(Grafito) G4GB/G4GF/G4GC,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. CABEZOTE TUC/ELANTRA 2.0(Grafito) G4GB/G4GF/G4GC,,0.00,,2.00
EMP. CABEZOTE TUCSON 2.0DIESEL/CARENS/SPORTA (D4EA) (METAL),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. CABEZOTE TUCSON 2.0DIESEL/CARENS/SPORTA (D4EA) (METAL),,0.00,,1.00
EMP. CABEZOTE TY. COROLLA 1.8 1ZZ-FE 98-13 (Graphite),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TY. COROLLA 1.8 1ZZ-FE 98-13 (Graphite),,0.00,,
EMP. CABEZOTE TY. RAV4 2.0 00- 1AZ-FE (Graphite)(11115-28022),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE TY. RAV4 2.0 00- 1AZ-FE (Graphite)(11115-28022),,0.00,,
EMP. CABEZOTE TY. YARIS 1.5 1NZ-FE/2NZ (Graphite),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,3.00
EMP. CABEZOTE TY. YARIS 1.5 1NZ-FE/2NZ (Graphite),,0.00,,3.00
EMP. CABEZOTE i10 1.1 07-11/PICANTO1.1 (METAL) (G4HG),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE i10 1.1 07-11/PICANTO1.1 (METAL) (G4HG),,0.00,,
EMP. CABEZOTE i10 1.1 11- EPSILON(graphite),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CABEZOTE i10 1.1 11- EPSILON(graphite),,0.00,,
EMP. CIRCULAR TOR. TAPA VALV. HY. ACCENT BLUE 1.6 DIESEL,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. CIRCULAR TOR. TAPA VALV. HY. ACCENT BLUE 1.6 DIESEL,,0.00,,
EMP. HUECO BUJIAS TAPA VALV. SONATA/ELANTRA 93/SAN2.4 00-05,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. HUECO BUJIAS TAPA VALV. SONATA/ELANTRA 93/SAN2.4 00-05,,0.00,,
EMP. MULTPL.ADM.13119-57800 G16V 96- - 16VLV METALICO,-No Value-,0.00,,1.00
EMP. MULTPL.ADM.13119-57800 G16V 96- - 16VLV METALICO,,0.00,,1.00
EMP. TAPA VALV. ACCENT 1.6 VVT/RIO 1.6 VVT 06-09 (12 HUECOS),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,3.00
EMP. TAPA VALV. ACCENT 1.6 VVT/RIO 1.6 VVT 06-09 (12 HUECOS),,0.00,,3.00
EMP. TAPA VALV. CH. SONIC/AVEO GT/TRAX/CRUZE 1.6-1.8 1,-No Value-,0.00,,4.00
EMP. TAPA VALV. CH. SONIC/AVEO GT/TRAX/CRUZE 1.6-1.8 1,,0.00,,4.00
EMP. TAPA VALV. CH. SPA 1.0/AVE 1.2(362x145x20.5) (F12S3),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. CH. SPA 1.0/AVE 1.2(362x145x20.5) (F12S3),,0.00,,
EMP. TAPA VALV. CH. SPARK GO 1.0/1.213-/BEAT/N300 (25183348),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. CH. SPARK GO 1.0/1.213-/BEAT/N300 (25183348),,0.00,,1.00
EMP. TAPA VALV. ELA 1.8/2.0/TIBURON 2.0/ (G4GF/G4DM)(13 huecos),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. ELA 1.8/2.0/TIBURON 2.0/ (G4GF/G4DM)(13 huecos),,0.00,,
EMP. TAPA VALV. ELA 1.8/2.0/TIBURON2.0/ (G4GF/G4DM)(13 huecos),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. ELA 1.8/2.0/TIBURON2.0/ (G4GF/G4DM)(13 huecos),,0.00,,1.00
EMP. TAPA VALV. HD. CIVIC 1.8 16v R18A1/R20 06-,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. HD. CIVIC 1.8 16v R18A1/R20 06-,,0.00,,1.00
EMP. TAPA VALV. HD. CIVIC 1.8 16vR18A1/R20 06-,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. HD. CIVIC 1.8 16vR18A1/R20 06-,,0.00,,1.00
EMP. TAPA VALV. HD. CIVIC D15B/D16(12341-PM6-010),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. HD. CIVIC D15B/D16(12341-PM6-010),,0.00,,1.00
EMP. TAPA VALV. HD. CIVIC D15B2/D16Z6(12341-P2F-A00),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,4.00
EMP. TAPA VALV. HD. CIVIC D15B2/D16Z6(12341-P2F-A00),,0.00,,4.00
EMP. TAPA VALV. HD. CIVIC D17A,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. TAPA VALV. HD. CIVIC D17A,,0.00,,2.00
EMP. TAPA VALV. HD. CR-V 02-06 K20/K24A,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. HD. CR-V 02-06 K20/K24A,,0.00,,1.00
EMP. TAPA VALV. HD. CR-V 02-06K20/K24A,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. TAPA VALV. HD. CR-V 02-06K20/K24A,,0.00,,2.00
EMP. TAPA VALV. HD. CR-V 2.4 07-/ACCORD 08- K24Z2 07-11,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. HD. CR-V 2.4 07-/ACCORD 08- K24Z2 07-11,,0.00,,
EMP. TAPA VALV. HD. CR-V 2.407-/ACCORD 08- K24Z2 07-11,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. HD. CR-V 2.407-/ACCORD 08- K24Z2 07-11,,0.00,,
EMP. TAPA VALV. HD. CRV 2.0 DOHC 16v B20B/B20Z/B18A/B18B (95-01),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. HD. CRV 2.0 DOHC 16v B20B/B20Z/B18A/B18B (95-01),,0.00,,1.00
EMP. TAPA VALV. HD. CRV 2.0 DOHC 16vB20B/B20Z (97-01),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. TAPA VALV. HD. CRV 2.0 DOHC 16vB20B/B20Z (97-01),,0.00,,2.00
EMP. TAPA VALV. HY. ACC 95-99/VER 99-05 1.5 SOHC/GETZ 1.3 02-03 (G4EK/G4EH/G4EA),-No Value-,,,
EMP. TAPA VALV. HY. ACC 95-99/VER 99-05 1.5 SOHC/GETZ 1.3 02-03 (G4EK/G4EH/G4EA),,,,
EMP. TAPA VALV. HY. ACC BLUE 1.6 14-16( USA)/VELOSTER GDI/RIO 12- G4FD (vvt) (22441-2B600),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,7.00
EMP. TAPA VALV. HY. ACC BLUE 1.6 14-16( USA)/VELOSTER GDI/RIO 12- G4FD (vvt) (22441-2B600),,0.00,,7.00
EMP. TAPA VALV. HY. ELANTRA 1.8 12-/CARENS 2.0 13-16/SOUL 2.0 11-,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,13.00
EMP. TAPA VALV. HY. ELANTRA 1.8 12-/CARENS 2.0 13-16/SOUL 2.0 11-,,0.00,,13.00
EMP. TAPA VALV. HY. EXCEL/ELA 1.5 86-94 1.5 8v SOHC (4G15/G4AJ/G4AG),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. HY. EXCEL/ELA 1.5 86-94 1.5 8v SOHC (4G15/G4AJ/G4AG),,0.00,,1.00
EMP. TAPA VALV. HY. GRAN i10 1.0 12 val.18-/PICANTO G3LA (3 pistones),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,6.00
EMP. TAPA VALV. HY. GRAN i10 1.0 12 val.18-/PICANTO G3LA (3 pistones),,0.00,,6.00
EMP. TAPA VALV. HY. H-1 2.5L-A 07-12/SORENTO 2.5 02-05 (D4CB),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. HY. H-1 2.5L-A 07-12/SORENTO 2.5 02-05 (D4CB),,0.00,,
EMP. TAPA VALV. HY. H-1 2.5L-A2 12-17 sist. VGA (RIEL COMUN),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. HY. H-1 2.5L-A2 12-17 sist. VGA (RIEL COMUN),,0.00,,
EMP. TAPA VALV. HY. SANTA FE 2.2/TUCSON 2.0 DIESEL 04-09 (22441-27400),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. HY. SANTA FE 2.2/TUCSON 2.0 DIESEL 04-09 (22441-27400),,0.00,,
EMP. TAPA VALV. HY. SANTA FE 2.4 12-15 /TUC IX35 2.0 09-13/SOR (G4KD/G4KE) (566x239x8.1),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,7.00
EMP. TAPA VALV. HY. SANTA FE 2.4 12-15 /TUC IX35 2.0 09-13/SOR (G4KD/G4KE) (566x239x8.1),,0.00,,7.00
EMP. TAPA VALV. HY. TUCSON 1.7 DIESEL 17-,-No Value-,0.00,,1.00
EMP. TAPA VALV. HY. TUCSON 1.7 DIESEL 17-,,0.00,,1.00
EMP. TAPA VALV. HY. i10 1.2 10-14/NEW PIC 11-/GRAN I10 14-/BLUE 1.4 (G4LA),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,9.00
EMP. TAPA VALV. HY. i10 1.2 10-14/NEW PIC 11-/GRAN I10 14-/BLUE 1.4 (G4LA),,0.00,,9.00
EMP. TAPA VALV. I10 EPSILON 1.1 SOHC11- (Nbr) G4HG,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,3.00
EMP. TAPA VALV. I10 EPSILON 1.1 SOHC11- (Nbr) G4HG,,0.00,,3.00
EMP. TAPA VALV. IZQ/DER. TY. 4RUN 4.0 V6 04-/FJ/TACO 1GR-FE (AMBOS LADOS),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. IZQ/DER. TY. 4RUN 4.0 V6 04-/FJ/TACO 1GR-FE (AMBOS LADOS),,0.00,,
EMP. TAPA VALV. KI. SOUL 1.6/CERATO 11-/ACC BLUE/CRETA 1.6 G4FG,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. TAPA VALV. KI. SOUL 1.6/CERATO 11-/ACC BLUE/CRETA 1.6 G4FG,,0.00,,2.00
EMP. TAPA VALV. MIT. L-200 SPORTEROTURBO 4D56T,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. MIT. L-200 SPORTEROTURBO 4D56T,,0.00,,1.00
EMP. TAPA VALV. MIT. MONTERO 2.8DIESEL (4M40),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,3.00
EMP. TAPA VALV. MIT. MONTERO 2.8DIESEL (4M40),,0.00,,3.00
EMP. TAPA VALV. MIT. MONTERO SPORT3.0/3.5 SOHC (6G72/6G74),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,13.00
EMP. TAPA VALV. MIT. MONTERO SPORT3.0/3.5 SOHC (6G72/6G74),,0.00,,13.00
EMP. TAPA VALV. N300/SPARK GO 1.0/1.2 DOHC 13-/BEAT (25183348),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. TAPA VALV. N300/SPARK GO 1.0/1.2 DOHC 13-/BEAT (25183348),,0.00,,2.00
EMP. TAPA VALV. NI SENTRA B13/B14 1.6DOHC GA16DE (USA),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,3.00
EMP. TAPA VALV. NI SENTRA B13/B14 1.6DOHC GA16DE (USA),,0.00,,3.00
EMP. TAPA VALV. NI. SENTRA 1.5 QG13/QG15DE 00-,IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,
EMP. TAPA VALV. NI. SENTRA 1.5 QG13/QG15DE 00-,,0.00,,
EMP. TAPA VALV. NI. SENTRA B15 1.8 98- QG18DE (13270-4Z000),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,2.00
EMP. TAPA VALV. NI. SENTRA B15 1.8 98- QG18DE (13270-4Z000),,0.00,,2.00
EMP. TAPA VALV. NI. SENTRA B15 1.8 98-QG18DE (13270-4Z000),IMPORTADORA BRIGO INTERNACIONAL S.A.,0.00,,1.00
EMP. TAPA VALV. NI. SENTRA B15 1.8 98-QG18DE (13270-4Z000),,0.00,,1.00
EMP. TAPA VALV. PICANTO/ATOS/I10 1.1 06-11 (Nbr) (G4HG),-No Value-,0.00,,1.00
EMP. TAPA VALV. PICANTO/ATOS/I10 1.1 06-11 (Nbr) (G4HG),,0.00,,1.00
